title,star,review,date,help,,
Good for dry hair,4.0 out of 5 stars,It does not give same results as they say or claim. Overall the product is helpful to set the dry hairs. My dad loved it. Its actually good .,Reviewed in India on 10 October 2020,,,
Just a cream.,3.0 out of 5 stars,A normal cream with mild scent. Not very effective on dandruff and reducing hair fall.  Although I am using other products of Khadi natural but this product didn't serve the purpose for me.,Reviewed in India on 7 February 2021,,,
Didn’t suit my curly hair type — used both before and after,2.0 out of 5 stars,I have curly hair and usually require an after wash cream to tame my hair and manage my curls. I can’t wash my hair without oiling or putting a pack. I used this for both before and after wash and it did not help at all. My hair was really rough and the curls did not turn out the way they would on the regular basis. There was no shine either,Reviewed in India on 6 June 2021,,,
Disappointed!!,2.0 out of 5 stars,"I'm a very big fan of Khadi products but this cream is really very disappointing. I have used this after shampoo/ wet hair/ dry hair, before shampoo but haven't seen any results. Even I tried this on dry hair, after that not doing shampoo as well to verify the results but no results at all. just keep it aside.☹️",Reviewed in India on 25 August 2021,,,
Perfectly holds hair,4.0 out of 5 stars,"It gives the hair the right hold and if the ingredients are as promised then it will do very less damage compared to other fancy creams in the market since it has mostly natural stuff in it.However, not great scent, not thick  and more on the watery side.",Reviewed in India on 19 September 2019,,,
Highly recommend,5.0 out of 5 stars,"This cream is very good for all types of hair. Apart from taking care of health of hair, it shines the hair like a hair serum. During applying, no hair fall occurs as far my hair is concerned. The smell is so good. Highly recommend to use this, if possible, with Khadi shampoo.",Reviewed in India on 14 July 2021,,,
Changed the quality of cream,1.0 out of 5 stars,"I have been using the product since last 2 years and now they have changed the quality of cream into wax like substance from which my hairs got rough + damaged. Now its my request to KHADI, please look after your product and make it like before.",Reviewed in India on 2 September 2022,4 people found this helpful,,
not recommended,2.0 out of 5 stars,made my hair very dryalso strong scent,Reviewed in India on 11 July 2022,,,
Worth buying,4.0 out of 5 stars,My husband has been using this product since two months and he loves it. Earlier he was using parachute classic hair cream.. though indeed khadi hair cream is double the price but is worth buying because it's not filled with chemicals. Has a pleasant smell and doesnot make the hair dry.Also my husband complained of extra grey hair while using parachute but khadi cream is suiting his hair alot .,Reviewed in India on 19 January 2018,9 people found this helpful,,
Works wonders,5.0 out of 5 stars,Good for dryness and frizz. I've been using it for a month now mixed with aloevera gel or alone. Gives good results. Hair is smooth after wash and no need to apply any conditioner after washing the hair. The pack is nice smelling and leaves hair light and silky after wash. Did not expect it work that well but it smoothened my hair that got extremely frizzy after a week of lack of proper care. It revered the whole thing in one go itself.,Reviewed in India on 14 March 2020,5 people found this helpful,,
Help softening and nourishing dry hair,4.0 out of 5 stars,"Conditioning and nourishing cream, the product is pretty decent in its delivery",Reviewed in India on 24 April 2021,,,
The best hair cream I have used until now.,5.0 out of 5 stars,"The best hair cream I have ever used. Period.I have had unruly hair and tried all types of creams - from Himalaya to American Crew.Either they dint work as mentioned or left my hair feeling sticky and greasy.Using this left my hair soft and supple for major part of the day. The best part, it doesn't leave any residue. I can use it everyday without having to wash my hair. It claims to be natural and I have no reasons to doubt it. You might need to use a little more quantity depending on what result you want.To sum it up, a great product at a great price. Definitely recommend it!",Reviewed in India on 26 December 2016,10 people found this helpful,,
Just useful for once or twice,4.0 out of 5 stars,Product is good but the quantity is less. Cones only for one or two iterations.,Reviewed in India on 2 February 2021,,,
5star to this product,5.0 out of 5 stars,"It works amazing for me. It cause no damage, no dandruff, no hair falls. I really love this product. I would like to recommend this to the people who wants a soft smooth n manageable hair. Thank you khadi for manufacturing the trust worthy product like this.😀❤️",Reviewed in India on 8 June 2021,,,
Lovely hair cream,5.0 out of 5 stars,"I'm using this hair cream for more than three to four months and I really love this cream... It will reduce split ends as split ends is a common for long hair also it will make your hair stronger and silky. It is value for money and I just love it's fragrance, even people around me also love the fragrance of this cream.. I highly recommend this cream for better hair...",Reviewed in India on 23 May 2020,3 people found this helpful,,
Keeps the frizz down!,5.0 out of 5 stars,The only hair product that has worked for my frizzy hair. My hair is softer and more manageable now. I apply this like conditioner and rinse it off. I would recommend it strongly for anybody who lives in a humid place and has frizzy hair. I have already bought this twice.,Reviewed in India on 14 March 2021,,,
Best for after shower,4.0 out of 5 stars,"I found more helpful in after shower, decent smell and one thing is it's just a cream for smoothy and adds shine to your hair.",Reviewed in India on 21 July 2020,,,
Damaged item,1.0 out of 5 stars,"Earlier the quality used to be good but last two times I have ordered, I have got the damaged product. The jar was opened and looked like someone used it. Cream was hard and smelt disgusting.",Reviewed in India on 16 September 2022,,,
Main seal was open,4.0 out of 5 stars,main seal which is under the cap was open..,Reviewed in India on 4 May 2021,,,
Good product but packaging is awful,3.0 out of 5 stars,"I ordered this second time  , first time packaging was good ,but this time it's awful please pack it properly it is a glass bottle",Reviewed in India on 14 November 2020,,,
It's an awesome product,5.0 out of 5 stars,"Omg it's a really good product. A must buy for everyone who loves to flaunt their silky smooth soft hair. I have fine silky straight hair, it works as good as my niece's rough long hair. It's a must keep in your beauty regime.😍",Reviewed in India on 30 April 2021,,,
Worth buying,4.0 out of 5 stars,Reduce hairfall and become soft and shiny,Reviewed in India on 6 May 2021,,,
People with dry hair better avoid it...,3.0 out of 5 stars,"Previously used to use Biotique hair mask but it is time consuming and kind of messy , hence I ordered this mask since you can apply directly from the jar. Also I like Khadi shampoos. Easy application but after few uses I noticed that my hair became dry. It may work for oily hair people.",Reviewed in India on 3 March 2019,,,
Gives me dandruff,2.0 out of 5 stars,Maybe suites others but not for me. I don’t have dandruff but after using it for first time itself it gave me dandruff,Reviewed in India on 3 February 2022,,,
Good,5.0 out of 5 stars,Good,Reviewed in India on 19 June 2022,,,
Amazing product but packaging needs to be improved,4.0 out of 5 stars,The product is extremely good; meets up to my expectations from Khadi. The fragrance is sweet and inviting and it nourishes and softens my hair. No complaints other than the packaging which needs to be improved because the product I received had it’s  seal broken.,Reviewed in India on 29 November 2018,,,
VERY BAD EXPERIANCE.,1.0 out of 5 stars,"VERY BAD EXPERIANCE. PLEASE NOTE, ITS NOT NATURAL AND ITS NOT KHADI PRODUCT. ""KHADI NATURAL "" IS THEIR OWN TRADEMARK OR BRAND NAME. NOT PRODUCT QUALITY.",Reviewed in India on 17 September 2022,One person found this helpful,,
Old product,2.0 out of 5 stars,The product is not worth buying online,Reviewed in India on 10 April 2022,,,
Greasy,3.0 out of 5 stars,Makes the hair greasy,Reviewed in India on 14 July 2021,,,
Buy it,5.0 out of 5 stars,"Very good results,",Reviewed in India on 20 May 2022,,,
Disappointed,1.0 out of 5 stars,The seal was brokenThe cream was in liquid form and it smells awful.Highly disappointed,Reviewed in India on 13 October 2022,,,
Damaged product!,2.0 out of 5 stars,The seal of the product was broken & the lid had burn marks on the inside. Smells funny too.Disappointed from the brand.Maybe purchase it from some other app/source if you're reading this.,Reviewed in India on 4 November 2021,,,
"Perfect for Smooth, Shiny and Healthy Hair, Nourishes Scalp.",5.0 out of 5 stars,"This product is for dry, damaged and dull hair. This pleasant smelling product is non sticky which means I can apply it and leave it for the rest of the day. To be used on towel dried hair after a shampoo daily which adds an instant lustre to your hair making it visibly healthy. Also treats dandruff and dry scalp. Priced much lesser that other hair products.",Reviewed in India on 13 November 2019,One person found this helpful,,
Conditions hair,4.0 out of 5 stars,It makes my hairs vry smooth after washing. Easy to use. Vry gud conditioner replacement. Dont knw whether it help hair growth or reverse hair damage !!,Reviewed in India on 25 November 2019,,,
USED PRODUCT,1.0 out of 5 stars,Used product sold. The seal was open and also half the container was empty. Product is questionable.  Be careful!,Reviewed in India on 16 September 2022,,,
Khadi natural protein  hair  cream,5.0 out of 5 stars,Very effective.value for money.,Reviewed in India on 17 April 2022,,,
Very good hair cream also leave in,4.0 out of 5 stars,Very Very good product for frizzy hairs. Also add shine to hairs with nourishment.  I and my mother used it as leave in cream also. The only problem is that it has amla as one of the ingredients that doesn't suit us.,Reviewed in India on 21 July 2018,4 people found this helpful,,
Worthy I feel.....,4.0 out of 5 stars,Packaging was okay....about the productThe smell out of it is sumthin really amazingAnd I literally gives hair an amazing texture doesn't matter whether it's too dry or wet.,Reviewed in India on 28 June 2019,,,
Value for money!,4.0 out of 5 stars,The scent is pretty good. The main thing is it moisturizes your hairs well makes them soft and gives a little shine too.  Affordable and good product.,Reviewed in India on 24 August 2019,,,
U can use it alternate oil,3.0 out of 5 stars,Good product,Reviewed in India on 22 April 2021,,,
Didn’t like it,1.0 out of 5 stars,It doesn’t feel good on hair and smell is awful.,Reviewed in India on 8 October 2022,,,
"For dry and frizzy hair, non sticky product.",5.0 out of 5 stars,I use it on my hair and not on my scalp and it doesn't make my hair oily. However the results might change according to hair texture I suppose. I have dense curly hair and it absorbs the product well. The fragrance is mild and pleasant. This is my 4th purchase of it product and it lasts to more than 2 months,Reviewed in India on 22 August 2019,2 people found this helpful,,
